WKT,osm_id,name,access,addr.city,addr.city.en,addr.city.simc,addr.country,addr.floor,addr.housename,addr.housenumber,addr.postcode,addr.street,addr.suburb,air_conditioning,amenity,atm,barrier,board_type,brand,brand.wikidata,brand.wikipedia,cash_in,check_date,check_date.diet.gluten_free,check_date.opening_hours,covered,currency.PLN,diet.gluten_free,door,email,entrance,fee,fee.conditional,information,internet_access,level,material,name.be,name.en,name.ja,name.pl,name.ru,network,opening_hours,operator,operator.wikidata,organic,parking,payment.blik,payment.cash,payment.contactless,payment.credit_cards,payment.debit_cards,payment.diners_club,payment.maestro,payment.mastercard,payment.sodexo,payment.v_pay,payment.visa,payment.visa_debit,payment.visa_electron,pets_allowed,phone,ref,roof.levels,shop,source,source.addr,source.note,start_date,stroller,toilets.wheelchair,tourism,website,wheelchair,wheelchair.description,wikipedia,nazwa_dzie,supermarket
"POINT (21.0960624 52.2448251)","282141267",Biedronka,,Warszawa,,,,,,56/58,04-355,Augustyna Kordeckiego,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2022-09-20,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 06:00-23:30; Su 08:00-23:00",Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,https://www.biedronka.pl,yes,,,Praga-Południe,Biedronka
"POINT (21.0567708 52.2473216)","286604414",Biedronka,,Warszawa,,,,,,338/340,03-838,Grochowska,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2023-04-08,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,Mo-Sa 06:00-22:00,Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,mapa.um.warszawa.pl,,,,,,"https://www.biedronka.pl/pl/shop,id,45",yes,,,Praga-Południe,Biedronka
"POINT (21.0828187 52.2265674)","344227169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.083355 52.226565)","344227170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0828172 52.226895)","344227171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0833258 52.2268958)","344227172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.1091284 52.2388881)","345291651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.1096594 52.2387703)","345291653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.1092528 52.2390982)","345291654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.1097837 52.2389804)","345291656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0978646 52.2496055)","395474580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0976738 52.249322)","395474581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.098198 52.2495215)","395474583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0980061 52.2492365)","395474584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0633017 52.2392354)","461166142",Biedronka,,Warszawa,,,PL,,,"68",03-922,Międzynarodowa,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,Mo-Sa 06:00-22:00,Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,73",yes,,,Praga-Południe,Biedronka
"POINT (21.0633777 52.2325974)","461166153",Biedronka,,Warszawa,,,,,,"40",03-938,Zwycięzców,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 7:00-22:00; Su 8:00-20:00",,,,,,,,,,,,,,,,,,,,,,supermarket,,,"1218023",,,,,https://www.biedronka.pl,,,,Praga-Południe,Biedronka
"POINT (21.0840168 52.2485186)","519551930",Biedronka,,Warszawa,,,,,,"15",04-364,Wiatraczna,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,Mo-Sa 07:00-22:00,Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,46",,,,Praga-Południe,Biedronka
"POINT (21.0702124 52.2483355)","1673573519",Biedronka,,,,,,,,,,,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 06:00-22:00; Su 08:00-22:00",Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,1250",,,,Praga-Południe,Biedronka
"POINT (21.1139829 52.2373184)","2600417201",Biedronka,,,,,,,,,,,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2022-09-02,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 07:00-21:00; Su off",Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,2362",yes,,,Praga-Południe,Biedronka
"POINT (21.0945747 52.2469712)","3013983804",Biedronka,,Warszawa,,,,,,"84",,Osowska,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,Mo-Sa 06:00-23:30,Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,2482",,,,Praga-Południe,Biedronka
"POINT (21.0943923 52.2217662)","3219209980",Biedronka,,Warszawa,,"0918123",,,,2A,03-984,Brygady Pościgowej,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 07:00-21:00; Su 09:00-20:00",Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,mapa.um.warszawa.pl,,,,,,"https://www.biedronka.pl/pl/shop,id,2561",,,,Praga-Południe,Biedronka
"POINT (21.0734345 52.2421725)","3513036059",Biedronka,,Warszawa,,,,,,"96",,Aleja Jerzego Waszyngtona,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 9:00-21:00; Su 9:00-20:00",Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,no,,"https://www.biedronka.pl/pl/shop,id,2380",yes,,,Praga-Południe,Biedronka
"POINT (21.083353 52.2268939)","3563683403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.1092248 52.2388668)","5321815380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.1095892 52.2454002)","5440379630",Biedronka,,Warszawa,,,,,,"36",04-305,Stanisława Żółkiewskiego,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Su 07:00-21:00; Sa 08:00-21:00",,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,https://www.biedronka.pl,,,,Praga-Południe,Biedronka
"POINT (21.0667236 52.2264951)","5440448353",Biedronka,,Warszawa,,"0918123",,,,6A,03-968,Saska,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,Mo-Sa 07:00-22:00,Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,1160",,,,Praga-Południe,Biedronka
"POINT (21.0751566 52.2474273)","7114064188",Biedronka,,Warszawa,,,,,,"4",03-833,Podskarbińska,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 05:00-23:30; Su 08:00-22:00; Sa 05:00-23:00",,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,3118",yes,,,Praga-Południe,Biedronka
"POINT (21.0981491 52.2495338)","9704084942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.1091453 52.2389166)","9793789248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0979027 52.2492631)","10011229955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0979033 52.2495957)","10013524776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0978113 52.2495263)","10013524780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0977988 52.2495075)","10013524781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0977626 52.2494537)","10013524783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.097755 52.2493011)","10058626419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0980349 52.2495626)","10058626422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praga-Południe,Biedronka
"POINT (21.0927062 52.2392454)","11514817771",Biedronka,,,,,,,,,,,,,,,,,Biedronka,Q857182,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 06:00-23:00,,,,,,,,,,,,,,,,,,,,"7482",,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,7482",,,,Praga-Południe,Biedronka
"POINT (21.0248902 52.1701442)","339133919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0252517 52.1701456)","339133920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0248938 52.1698142)","339133921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0252552 52.1698156)","339133922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0134968 52.1784849)","1300250590",Biedronka,,,,,,,,,,,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 05:00-23:30; Su 05:00-23:30",Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,survey,,,,,,,https://www.biedronka.pl,,,,Mokotów,Biedronka
"POINT (21.0339463 52.2014035)","1750765627",Biedronka,,Warszawa,,,,G,,"3",00-773,Dolna,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2024-09-27,,,,,,,bok@biedronka.eu,,,,,no,"0",,,,,,Бедронка,,24/7,Jeronimo Martins Polska S.A.,,,,yes,yes,yes,,,yes,yes,yes,yes,yes,yes,yes,yes,,+48 22 205 33 00,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,68",limited,,,Mokotów,Biedronka
"POINT (21.0389351 52.1722249)","1991569254",Biedronka,,Warszawa,,,,,,"34",02-680,Józefa Elsnera,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2024-12-28,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 06:30-22:00; Su 06:30-22:00 ""tylko niedziele handlowe""",Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,1008",yes,,,Mokotów,Biedronka
"POINT (21.0262756 52.1810327)","2150422287",Biedronka,,Warszawa,,,,,,"22",02-703,Bukowińska,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2023-08-06,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,Mo-Sa 06:00-23:30,Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,1247",yes,,,Mokotów,Biedronka
"POINT (21.0034319 52.173927)","3366686595",Biedronka,,,,,,,,,,,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2022-07-27,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,Mo-Sa 07:00-22:00,Jeronimo Martins Polska S.A.,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,https://www.biedronka.pl,,,,Mokotów,Biedronka
"POINT (21.0472413 52.1872537)","5293917242",Biedronka,,,,,,,,2A,,Mangalia,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2025-07-18,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,Biedronka,"Mo-Sa 06:00-23:30; Su 06:00-23:30 ""tylko niedziele handlowe""",,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,https://www.biedronka.pl,yes,,,Mokotów,Biedronka
"POINT (20.9895126 52.1856419)","5394061592",Biedronka,,,,,,,,10c,,Konstruktorska,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2023-03-25,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,Biedronka,06:00-23:30,,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,https://www.biedronka.pl/,yes,,,Mokotów,Biedronka
"POINT (21.0249997 52.1918102)","5420944562",Biedronka,,Warszawa,,,,,,"111",,Puławska,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2025-09-07,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 06:00-23:30; Su 06:00-23:30 ""tylko niedziele handlowe""",,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,2634",yes,,,Mokotów,Biedronka
"POINT (21.0202899 52.1788851)","6013188201",Biedronka,,Warszawa,,,,,,"48",02-661,Wita Stwosza,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2024-04-26,,,,,,,bok@biedronka.eu,,,,,,,,,,,,Бедронка,,"Mo-Sa 06:00-22:00; Su 06:00-22:00 ""tylko niedziele handlowe (only working sundays)""",,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,2871",yes,,,Mokotów,Biedronka
"POINT (21.0435639 52.1776284)","6765113487",Biedronka,,Warszawa,,,,,,"2",,Bergamotki,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2025-07-16,,,,,,,,,,,,,,,,,,,,,"Mo-Sa 06:00-23:00; Su 06:00-23:30 ""tylko niedziele handlowe""",,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,3187,title,warszawa-ul-bergamotki-2",yes,,,Mokotów,Biedronka
"POINT (21.0053073 52.1874977)","6900650506",Biedronka,,,,,,,,"5",,Garażowa,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2025-08-27,,,,,,,,,,,,,"0",,Бедронка,,,Biedronka,,,"Mo-Sa 06:00-22:00; Su off",,,,,,,,,,,,yes,,,yes,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,3197",yes,,,Mokotów,Biedronka
"POINT (21.0486153 52.2118128)","7916095944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0487668 52.2116624)","7916095945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0491156 52.2117969)","7916095946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0490694 52.2119876)","7916095947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0493244 52.2117323)","7916095948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0492193 52.2116941)","7916095949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (21.0136528 52.1838027)","10302498497",Biedronka,,Warszawa,,"0918123",,,,"26",02-672,Domaniewska,,,,,,,Biedronka,Q857182,,,2024-11-16,,,,,,,,,,,,,,,,,,,,,Mo-Sa 06:00-23:30,,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,3684",yes,,,Mokotów,Biedronka
"POINT (21.0249337 52.1698144)","10935279653",,,,,,,,,,,,,,,,,,,,,,,,,,,,automatic,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (20.9926011 52.1799622)","11941713469",Biedronka,,,,,,,,3F,02-677,Wynalazek,,,,,,,Biedronka,Q857182,,,2025-01-24,,,,,,,,,,,,,,,,,,,,,Mo-Sa 06:00-23:30,,,,,,,,,,,,,,,,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/sklepy/shop,id,7522",yes,,,Mokotów,Biedronka
"POINT (21.0486387 52.2118214)","12478486016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokotów,Biedronka
"POINT (20.9974293 52.2271892)","302722319",Biedronka,,Warszawa,,,,,,56C,00-803,Aleje Jerozolimskie,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2022-05-26,,,,,,,bok@biedronka.eu,,,,,,,,,,ビェドロンカ,,Бедронка,,Mo-Sa 06:00-23:30,Jeronimo Martins Polska S.A.,,,,yes,yes,yes,,,yes,yes,yes,yes,yes,yes,yes,yes,,+48 22 205 33 00,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,1240",yes,,,Wola,Biedronka
"POINT (20.9346101 52.2220578)","411513480",Biedronka,,Warszawa,,,,,,"62",01-248,Jana Kazimierza,,,,,,,Biedronka,Q857182,pl:Biedronka (sieć handlowa),,2025-05-24,2025-05-24,,,,yes,,bok@biedronka.eu,,,,,no,"0",,,,,,Бедронка,,Mo-Sa 06:00-22:00,Jeronimo Martins Polska S.A.,,,,,yes,,,,,,yes,,,yes,,,,,,,supermarket,,,,,,,,"https://www.biedronka.pl/pl/shop,id,56",yes,,,Wola,Biedronka
"POINT (20.9889642 52.2406719)","1102696306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9888677 52.2406854)","1102696310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9889334 52.2407071)","1102696417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9893692 52.2409374)","1102696431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9889848 52.2406173)","1102696434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9893949 52.2409063)","1102696506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.989547 52.2408028)","1102696524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9894428 52.2409221)","1102696555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9889431 52.240665)","1102696593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9888083 52.240753)","1102696669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
"POINT (20.9895045 52.2408514)","1102696703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,Biedronka
