WKT,osm_id,name,access,access.conditional,addr.city,addr.city.simc,addr.country,addr.door,addr.housename,addr.housenumber,addr.postcode,addr.street,amenity,artwork_subject,artwork_type,barrier,bicycle,board_type,camera.mount,check_date,contact.email,contact.facebook,contact.fax,contact.phone,contact.website,defibrillator.location,defibrillator.location.en,denomination,description,door,ele,ele.msl,ele.source,email,emergency,entrance,fax,fixme,foot,grades,height,highway,historic,horse,image,indoor,information,isced.level,lamp_mount,level,loc_name,locked,man_made,material,maxwidth.physical,memorial,min_age,mobile,motor_vehicle,motorcar,motorcycle,name.en,name.etymology.wikidata,name.pl,note,note.access,official_name,old_name,opening_hours,operator,operator.en,operator.pl,operator.type,operator.website,operator.wikidata,outdoor,parking,phone,ref.regon,ref.rspo,ref.vatin,religion,short_name,source,source.addr,support,surveillance.type,tourism,website,wheelchair,wikidata,wikimedia_commons,wikipedia,nazwa_dzie,cluster
"POINT (21.0026871 52.2076633)","9727844851",Społeczna Szkoła Podstawowa nr 26 STO im. prof. Jigoro Kano,,,Warszawa,,,,,"32",02-532,Rakowiecka,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q190141,,,,Społeczna Szkoła Podstawowa nr 26 im. prof. Jigoro Kano Społecznego Towarzystwa Oświatowego - Prefektura Rakowiecka,,,Społeczne Towarzystwo Oświatowe,,,ngo,http://www.sto.org.pl/,Q9340538,,,,,,,,,,,,,,https://ssp26-rakowiecka.edupage.org/,,,,,Mokotów,17
"POINT (21.0303194 52.2006106)","11126355643",Szkoła Podstawowa nr 201,,,,,,,,,,,school,,,,,,,2025-08-31,,,,,,,,,,,,,,mow4@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 14449,,Szkoła Podstawowa Specjalna nr 201,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 228412534,"000959725","105308",,,,,,,,,,,,,,Mokotów,18
"POINT (21.0736247 52.2118472)","11126386546",Szkoła Podstawowa nr 3 im. Dzieci Powstania Warszawskiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zsp1@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 12481,,Szkoła Podstawowa nr 3 im. Dzieci Powstania Warszawskiego,,,Mokotów,,,government,,,,,+48 228414326,"000802219","80397",PL5211553738,,,,,,,,http://www.zsp1wawa.edupage.org,,,,,Mokotów,19
"POINT (21.0636791 52.1730941)","11132432149",Szkoła Podstawowa Specjalna nr 294 w Instytucie Psychiatrii i Neurologii,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zs96@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 13110,,Szkoła Podstawowa Specjalna nr 294 w Instytucie Psychiatrii i Neurologii,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 224582628,"012763912","105665",,,,,,,,,,,,,,Mokotów,20
"POINT (21.0390419 52.1734551)","11132453649",Szkoła Podstawowa nr 107 im. Bronisława Malinowskiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sp107@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 277581,,Szkoła Podstawowa nr 107 im. Bronisława Malinowskiego,,,Mokotów,,,government,,,,,+48 228439692,"000802171","92385",PL5211553425,,,,,,,,http://www.sp107.edupage.org,,,,,Mokotów,21
"POINT (21.0547331 52.1895681)","11132571859",Brytyjska Szkoła Podstawowa The British School nr 91 w Warszawie,,,Warszawa,"918130",,,,"15",02-943,Bolesława Limanowskiego,school,,,,,,,,,,,,,,,,,,,,,british@thebritishschool.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Brytyjska Szkoła Podstawowa The British School nr 91 w Warszawie,,,The British School Spółka Z Ograniczoną Odpowiedzialnością,,,private,,,,,+48 228423281,"146548360","110104",,,,,,,,,http://www.thebritishschool.pl,,,,,Mokotów,22
"POINT (20.9996796 52.1808746)","11134868196",Szkoła Podstawowa im. Komisji Edukacji Narodowej,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@orpeg.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 122890,,Szkoła Podstawowa im. Komisji Edukacji Narodowej,,,Ministerstwo Edukacji i Nauki,,,government,,,,,+48 226223793,"368218656","263454",,,,,,,,,https://www.orpeg.pl/,,,,,Mokotów,23
"POINT (21.0166107 52.2027395)","11134969607",Szkoła Podstawowa Specjalna nr 111 im. Stefana Starzyńskiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@sps111.waw.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Specjalna nr 111,,,Miasto Stołeczne Warszawa,City of Warsaw,Miasto Stołeczne Warszawa,government,,Q270,,,+48 222771821,"000959004","105671",,,,,,,,,https://www.sps111.waw.pl/,,,,,Mokotów,24
"POINT (21.000961 52.1902179)","11137276471","I Społeczna Szkoła Podstawowa Specjalna ""Dać Szansę""",,,Warszawa,"918130",,,,2b,02-639,Głogowa,school,,,,,,,,,,,,,,,,,,,,,sekretariat@dacszanse.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 112050,,"I Społeczna Szkoła Podstawowa Specjalna ""Dać Szansę"" Społecznego Towarzystwa Oświatowego",,,Samodzielne Koło Terenowe Społecznego Towarzystwa Oswiatowego Nr 102,,,ngo,,,,,+48 228484902,"146422334","64377",PL5212467633,,,,,,,,http://www.dacszanse.edu.pl,,,,,Mokotów,25
"POINT (20.9941909 52.190896)","11137279927",Szkoła Podstawowa Specjalna nr 22 im. prof. dr hab. med. Eleonory Reicher,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,szkolair@gmail.com,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"Szkoła Podstawowa Specjalna nr 22 w Narodowym Instytucie Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher",,,Miasto Stołeczne Warszawa,City of Warsaw,,public,,Q270,,,+48 226709201,"012726816","105419",,,,,,,,,https://sps22.szkolnykatalog.pl/,,,,,Mokotów,26
"POINT (20.9721307 52.235192)","1774804324",Niepubliczna Szkoła Podstawowa „W Kontakcie”,,,,,,,,"4",,Stanisława Staszica,school,,,,,,,2025-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,Wola,27
"POINT (20.9371059 52.2419315)","2364845994",Szkoła Podstawowa Specjalna nr 331,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,28
"POINT (20.9759247 52.2380862)","9563096195","Niepubliczna Szkoła Podstawowa ""W kontakcie""",,,Warszawa,,,,,"62",01-193,Karolkowa,school,,,,,,,2024-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Niepubliczna Specjalna Szkoła Podstawowa dla Dzieci z Autyzmem ""W kontakcie""",,,"Fundacja na Rzecz Wspierania Dzieci z Autyzmem i Ich Rodzin ""W kontakcie""",,,ngo,,,,,+48 509 267 707,,,,none,,,,,,,http://szkolawkontakcie.org/,,,,,Wola,29
"POINT (20.9675843 52.2467133)","9643160042",Niepubliczna Szkoła Podstawowa EduArt im. Leonarda da Vinci,,,Warszawa,,,,,24D,01-163,Jana Ostroroga,school,,,,,,,,,,,,,,,,,,,,,kontakt@eduartschool.pl,,,,,,0-8,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,+48 504 166 992,,,,,,,,,,,https://eduartschool.pl/,,,,,Wola,30
"POINT (20.9789006 52.2506633)","9643239720",Szkoła Podstawowa Towarzystwa Edukacyjnego Vizja,,,Warszawa,,,,,"59",01-043,Okopowa,school,,,,,,,,,,,,,,,,,,,,,,,,,,,1-8,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,,,,Towarzystwo Edukacyjne Vizja,,,private,,,,,,,,,,,,,,,,https://okopowa.edu.pl/szkola-podstawowa/,,,,,Wola,31
"POINT (20.9839521 52.2473158)","11076558188",Szkoła Podstawowa nr 389 im. Stefana Starzyńskiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,32
"POINT (20.9396442 52.2442964)","13163248602",Szkoła Podstawowa nr 390 dla dorosłych,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wola,33
"POINT (21.0854032 52.1690631)","11161749435",Szkoła Podstawowa nr 261 im. Stanisława Kostki Potockiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@kostka-potocki.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 5626,,Szkoła Podstawowa nr 261 im. Stanisława Kostki Potockiego w Warszawie,,,Wilanów,,,government,,,,,+48 222771500,"017187324","30461",,,,,,,,,http://www.kostka-potocki.edu.pl,,,,,Wilanów,34
"POINT (21.069041 52.157632)","11161782601",Polsko-Niemiecka Szkoła Spotkań i Dialogu im. Willy'ego Brandta - Szkoła Podstawowa,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat2@wbs.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 114245,,Polsko-Niemiecka Szkoła Spotkań i Dialogu im. Willy'ego Brandta w Warszawie - Szkoła Podstawowa,,,Niemieckie Towarzystwo Szkolne w Warszawie,,,ngo,,,,,+48 226422705,"146372926","52998",,,,,,,,,https://wbs.pl/,,,,,Wilanów,35
"POINT (21.0757317 52.1773759)","11161899870",Międzynarodowa Europejska Szkoła Podstawowa,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,ies@ies-warsaw.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Międzynarodowa Europejska Szkoła Podstawowa im. Jana Kułakowskiego w Warszawie - International European School *Warsaw,,,"""International European School"" Spółka Z Ograniczoną Odpowiedzialnością",,,private,,,,,+48 228424448,"146407553","52982",PL5272374993,,,,,,,,https://www.ies-warsaw.pl/,,,,,Wilanów,36
"POINT (21.063225 52.1524982)","11161931312","Niepubliczna Specjalna Szkoła Podstawowa ""Krok Po Kroku""",,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@szkolakpk.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"Niepubliczna Specjalna Szkoła Podstawowa ""Krok Po Kroku"" im. Bl. Edmunda Bojanowskiego",,,Rzymsko-Katolicka Parafia Błogosławionego Edmunda Bojanowskiego,,,religious,,,,,+48 535393000,"146439843","64399",PL9512030204,,,,,,,,http://szkolakpk.edu.pl,,,,,Wilanów,37
"POINT (21.2404025 52.217455)","9482184239",Szkoła Podstawowa nr 385 im. Marszałka Józefa Piłsudskiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,kontakt.sp385@eduwarszawa.pl,,,+48 227732335,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+48 227732987,"367405267","133545",,,,,,,,,https://sp385.waw.pl/,,,,,Wesoła,38
"POINT (21.2156728 52.2169832)","9623162889","Szkoła Podstawowa Niepubliczna nr 90 ""Szkoła Rodzinna""",,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@szkolarodzinna.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 127002,,"Szkoła Podstawowa Niepubliczna nr 90 ""Szkoła Rodzinna""",,,Halina Grzywacz,,,private,,,,,+48 227733377,"146363933","31707",PL9521203124,,,,,,,,http://www.szkolarodzinna.pl/,,,,,Wesoła,39
"POINT (21.1691549 52.2167281)","9482173025",Szkoła Podstawowa Specjalna nr 393,,,,,,,,,,,school,,,,,,,,,,+48 226133542,+48 226133542,,,,,,,,,,mos2kat@eduwarszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"Szkoła Podstawowa Specjalna nr 393 w Młodzieżowym Ośrodku Socjoterapii nr 2 ""Kąt""",,,Miasto Stołeczne Warszawa,,,government,,,,,,"367990142","196263",,,,,,,,,https://moskat.pl/,,,,,Wawer,40
"POINT (21.1918676 52.2053675)","9482317430",Szkoła Podstawowa Specjalna nr 106,,,,,,,,,,,school,,,,,,,,,,+48 228151123,+48 228151123,https://zss78warszawa.edupage.org/,,,,,,,,,sekretariat.zs78@eduwarszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"Szkoła Podstawowa Specjalna nr 106 w Instytucie ""Pomnik - Centrum Zdrowia Dziecka""",,,Miasto Stołeczne Warszawa,,,government,,,,,,"015890077","105398",,,,,,,,,,,,,,Wawer,41
"POINT (21.2051176 52.1651375)","9483945670",Szkoła Podstawowa Specjalna nr 179,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zs102@eduwarszawa.pl,,,+48 226130638,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Specjalna nr 179,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 226130638,"016448053","105677",,,,,,,,,https://zss102.waw.pl/,,,,,Wawer,42
"POINT (21.1769806 52.2068359)","9522300152","""Żagle"" Szkoła Podstawowa",,,,,,,,,,,school,,,,,,,,szkola.zagle@sternik.edu.pl,,,,https://spzagle.sternik.edu.pl/,,,,Klasy 4-8,,,,,,,,,,,4-8,,,,,,,,"1;2",,,,,,,,,,+48 513061401,,,,,,,,,"""Żagle"" Szkoła Podstawowa Stowarzyszenia Sternik",,,"Stowarzyszenie Wspierania Edukacji i Rodziny ""Sternik""",,,ngo,,,,,+48 228159031,"146405732","52988",PL5262759065,,,,,,,,,,,,,Wawer,43
"POINT (21.149051 52.1918973)","9522580908",Integracyjna Podstawowa Szkoła Montessori Wawer,,,,,,,,,,,school,,,,,,,,sekretariat.cem@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,"1;2",,,,,,,,,,+48 668596464,,,,,,,,,Integracyjna Podstawowa Szkoła Montessori Wawer,,,Centrum Aktywnego Rozwoju Spółka z o.o.,,,private,,,,,,"368284908","264203",,,,,,,,,http://montessori-warszawa.pl/,,,,,Wawer,44
"POINT (21.204674 52.152904)","9621260666",Szkoła Podstawowa nr 235,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@warszawa.oow.gov.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 235 w Okręgowym Ośrodku Wychowawczym w Warszawie Falenicy,,,Ministerstwo Sprawiedliwości,,,government,,,,,+48 228729175,"147430420","125191",,,,,,,,,https://warszawa.oow.gov.pl/,,,,,Wawer,45
"POINT (21.2170127 52.1694979)","9621398271","""Żagle"" Szkoła Podstawowa Stowarzyszenia Sternik",,,,,,,,,,,school,,,,,,,,szkola.zagle@sternik.edu.pl,,,+48 228725022,http://zagle.sternik.edu.pl,,,,Klasy 0-3,,,,,,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"""Żagle"" Szkoła Podstawowa Stowarzyszenia Sternik",,,"Stowarzyszenie Wspierania Edukacji i Rodziny ""Sternik""",,,ngo,,,,,,"146405732","52988",PL5262759065,,,,,,,,,,,,,Wawer,46
"POINT (21.1786352 52.2102483)","12554512345",Chrześcijańska Szkoła Podstawowa Samuel,,,,,,,,,,,school,,,,,,,,,https://www.facebook.com/SzkolaSamuel,,+48 228797810,,,,,,,,,,dyrekcja.szkola@samuel.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Chrześcijańska Szkoła Podstawowa Samuel,,,Towarzystwo Edukacyjne Samuel,,,ngo,,,,,,"146369367","52987",PL9511923621,,,,,,,,https://szkola.samuel.pl/,,,,,Wawer,47
"POINT (20.9039022 52.2100325)","2367001794",Szkoła Podstawowa nr 359,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zs17@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 30982,,Szkoła Podstawowa nr 359,,,Włochy,,,government,,,,,+48 228637304,"363827600","130316",PL5222493750,,,,,,,,https://www.promienista.waw.pl/,,,,,Włochy,48
"POINT (20.9381486 52.1602932)","11146180749",Szkoła Podstawowa Eduventura,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,kontakt@eduventura.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Eduventura,,,Szkoła Eduventura Spółka Z Ograniczoną Odpowiedzialnością,,,private,,,,,+48 507307397,"383927958","272093",,,,,,,,,https://eduventura.pl/szkola-podstawowa/,,,,,Włochy,49
"POINT (20.8946581 52.2059335)","11146411129",Niepubliczna Szkoła Podstawowa Tosi i Franka,,,Warszawa,"988862",,,,"10",02-409,Obywatelska,school,,,,,,,2024-11-09,,,,,,,,,,,,,,sekretariat@stif.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Niepubliczna Szkoła Podstawowa Tosi i Franka,,,Monika Woźniak,,,private,,,,,+48 227240261,"380040574","267266",,,,,,,,,https://www.stif.pl/stif-warszawa-wlochy,,,,,Włochy,50
"POINT (20.9554342 52.1915582)","12073397468",Niebieska Szkoła Podstawowa,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,kontakt@niebieska.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,+48 728030609,,,,,,,,,Niepubliczna Szkoła Podstawowa Specjalna Niebieska,,,Niebieska Sp. z o.o.,,,private,,,,,,"521438820","478452",,,,,,,,,https://www.niebieska.edu.pl/,,,,,Włochy,51
"POINT (20.9829289 52.192089)","12495395880","Międzynarodowa Szkoła Podstawowa Towarzystwa Edukacyjnego ""Vizja""",,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,ochota@tevizja.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"Międzynarodowa Szkoła Podstawowa Towarzystwa Edukacyjnego ""Vizja""",,,"Towarzystwo Edukacyjne ""Vizja"" Spółka Z Ograniczoną Odpowiedzialnością",,,private,,,,,+48 721722732,"362396300","128769",,,,,,,,,https://gladka.tevizja.pl/,,,,,Włochy,52
